Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11387  ,1.934e+02   ,-415.04  ,18  ,200.37
11388  ,1.940e+02   ,-385.4  ,18  ,200.39
11389  ,1.937e+02   ,-395.35  ,18  ,200.39
11390  ,1.943e+02   ,-375.47  ,18  ,200.35
11391  ,1.947e+02   ,-365.71  ,18  ,200.36
11392  ,1.950e+02   ,-346.68  ,18  ,200.36
11393  ,1.949e+02   ,-356.38  ,18  ,200.37
11394  ,1.951e+02   ,-336.78  ,18  ,200.39
11395  ,1.953e+02   ,-326.83  ,18  ,200.39
11396  ,1.963e+02   ,-258.37  ,18  ,200.36
11397  ,1.961e+02   ,-268.29  ,18  ,200.39
11398  ,1.965e+02   ,-248.61  ,18  ,200.35
11399  ,1.966e+02   ,-239.16  ,18  ,200.36
11400  ,1.966e+02   ,-229.56  ,18  ,200.39
11401  ,1.965e+02   ,-219.7  ,18  ,200.39
11402  ,1.966e+02   ,-199.84  ,18  ,200.36
11403  ,1.965e+02   ,-209.75  ,18  ,200.39
11404  ,1.968e+02   ,-190.09  ,18  ,200.35
11405  ,1.968e+02   ,-180.62  ,18  ,200.36
11406  ,1.967e+02   ,-171.1  ,18  ,200.34
11407  ,1.966e+02   ,-161.22  ,18  ,200.39
11408  ,1.966e+02   ,-151.27  ,18  ,200.39
11409  ,1.968e+02   ,-141.32  ,18  ,200.39
11410  ,1.970e+02   ,-131.44  ,18  ,200.37
11411  ,1.972e+02   ,-121.79  ,18  ,200.37
11412  ,1.973e+02   ,-112.49  ,18  ,200.36
11413  ,1.973e+02   ,-102.81  ,18  ,200.37
11414  ,1.973e+02   ,-92.906  ,18  ,200.39
11415  ,1.974e+02   ,-82.959  ,18  ,200.39
11416  ,1.976e+02   ,-73.046  ,18  ,200.36
11417  ,1.977e+02   ,-63.32  ,18  ,200.37
11418  ,1.978e+02   ,-54.043  ,18  ,200.36
11419  ,1.977e+02   ,-44.251  ,18  ,200.4
11420  ,1.976e+02   ,-34.314  ,18  ,200.39
11421  ,1.977e+02   ,-24.367  ,18  ,200.39
11422  ,1.978e+02   ,-14.432  ,18  ,200.41
11423  ,1.979e+02   ,-4.6381  ,18  ,200.37
11424  ,1.979e+02   ,4.5716  ,18  ,200.38
11425  ,1.978e+02   ,14.274  ,18  ,200.36
11426  ,1.977e+02   ,24.182  ,18  ,200.39
11427  ,1.976e+02   ,34.127  ,18  ,200.39
11428  ,1.977e+02   ,44.062  ,18  ,200.41
11429  ,1.978e+02   ,53.852  ,18  ,200.36
11430  ,1.977e+02   ,63.138  ,18  ,200.37
11431  ,1.976e+02   ,72.852  ,18  ,200.36
11432  ,1.974e+02   ,82.762  ,18  ,200.39
11433  ,1.973e+02   ,92.709  ,18  ,200.39
11434  ,1.973e+02   ,102.64  ,18  ,200.35
11435  ,1.973e+02   ,112.41  ,18  ,200.35
